# temperature,mean,std
2.500000000000000000e+02 5.505182961013644238e+00 5.304321207219094836e-01
2.600000000000000000e+02 5.515921851851851798e+00 5.033111795352137596e-01
2.700000000000000000e+02 3.878484150097466276e+00 1.855897162715916426e+00
2.800000000000000000e+02 3.036092658869395944e+00 1.845833531898547708e+00
2.900000000000000000e+02 4.467091187866928159e+00 1.468496095023174686e+00
3.000000000000000000e+02 2.848612547945204909e+00 2.101288812092603209e+00
3.100000000000000000e+02 2.993988506769825531e+00 1.740706197439550351e+00
3.200000000000000000e+02 1.889508953578336481e+00 1.374560034545831089e+00
3.300000000000000000e+02 1.713535631782945767e+00 7.165013552696060106e-01
3.400000000000000000e+02 1.648166381044487316e+00 1.129090923574804561e+00
