# temperature,mean,std
2.500000000000000000e+02 1.754229766081871200e-01 4.342274595369685630e-02
2.600000000000000000e+02 1.775825536062378140e-01 3.273274436526555503e-02
2.700000000000000000e+02 3.140563703703703746e-01 1.530826553749142227e-01
2.800000000000000000e+02 3.812491189083820897e-01 1.551666008951672893e-01
2.900000000000000000e+02 2.698513600782779243e-01 1.278739454263443653e-01
3.000000000000000000e+02 3.871993894324853303e-01 1.667928008032586173e-01
3.100000000000000000e+02 4.429708355899419359e-01 1.244399182305126889e-01
3.200000000000000000e+02 4.682048588007737266e-01 1.056930858658897132e-01
3.300000000000000000e+02 5.473502112403100250e-01 5.462627729136527999e-02
3.400000000000000000e+02 4.882229071566731582e-01 8.818941486118452022e-02
